車種名,モデル,グレード,支払総額,年式,走行距離,修復歴,ミッション,排気量,取得日時,取得日,取得時刻,ソースURL,車両URL
GR86,情報なし,2.4 RZ 禁煙 純正9型ナビ Bカメラ フルセグETC2.0,281.4万円,2021(R03),2.3万km,なし,フロア6MT,2400CC,2025-07-24T23:33:10.463701,2025-07-24,23:33:10,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=TO_S255&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6372647959/index.html
GR86,情報なし,2.4 RZ MT 純正SDナビ バックカメラ LEDヘッド,292.4万円,2023(R05),1.6万km,なし,フロア6MT,2400CC,2025-07-24T23:33:10.466394,2025-07-24,23:33:10,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=TO_S255&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6387886851/index.html
GR86,情報なし,2.4 RZ シートヒーター　ETC,299.7万円,2023(R05),2.1万km,なし,フロア6AT,2400CC,2025-07-24T23:33:10.468979,2025-07-24,23:33:10,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=TO_S255&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6167548319/index.html
GR86,情報なし,2.4 RZ 6MT9型ナビBカメラTVヒーター付半革ETC18AW,288.8万円,2022(R04),1.9万km,なし,フロア6MT,2400CC,2025-07-24T23:33:10.471648,2025-07-24,23:33:10,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=TO_S255&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6430339047/index.html
GR86,情報なし,2.4 SZ 6MT純正ナビ地デジ衝突軽減純正17AWLED,268.2万円,2023(R05),2.2万km,なし,フロア6MT,2400CC,2025-07-24T23:33:10.474304,2025-07-24,23:33:10,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=TO_S255&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6423812869/index.html
GR86,情報なし,2.4 RC HKS車高調 アルパインナビ ARMSマフラー,325.6万円,2024(R06),0.1万km,なし,フロア6MT,2400CC,2025-07-24T23:33:10.476472,2025-07-24,23:33:10,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=TO_S255&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6293475652/index.html
GR86,情報なし,2.4 RZ GROWダウンサス 9型OPナビ バックC ETC2.0,309.8万円,2022(R04),3.2万km,なし,フロア6MT,2400CC,2025-07-24T23:33:10.479071,2025-07-24,23:33:10,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=TO_S255&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6368814871/index.html
GR86,情報なし,2.4 RZ 6MTLEDヘッドハーフレザークルコンETC,249.8万円,2022(R04),5.1万km,なし,フロア6MT,2400CC,2025-07-24T23:33:10.481704,2025-07-24,23:33:10,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=TO_S255&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6407482302/index.html
GR86,情報なし,2.4 RC 6速MT 柿本マフラー TVナビ Bカメラ 禁煙車,279.4万円,2023(R05),1.4万km,なし,フロア6MT,2400CC,2025-07-24T23:33:10.484380,2025-07-24,23:33:10,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=TO_S255&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6148225392/index.html
GR86,情報なし,2.4 RZ マニュアル車+フルセグメモリーナビ,305.2万円,2021(R03),1.2万km,なし,フロア6MT,2400CC,2025-07-24T23:33:10.487045,2025-07-24,23:33:10,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=TO_S255&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6330445020/index.html
