車種名,モデル,グレード,支払総額,年式,走行距離,修復歴,ミッション,排気量,取得日時,取得日,取得時刻,ソースURL,車両URL
LC,情報なし,500h Lパッケージ 赤革　パノラマ　OP21AW　Dレコ　3眼LED,684万円,2017(H29),1.8万km,なし,フロアMTモード付CVT,3500CC,2025-07-17T23:30:02.641202,2025-07-17,23:30:02,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S019&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6260682677/index.html
LC,情報なし,500 Sパッケージ 10.3インチメーカーナビ バッ,832.9万円,2018(H30),3万km,なし,フロアMTモード付10AT,5000CC,2025-07-17T23:30:02.644197,2025-07-17,23:30:02,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S019&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6249289130/index.html
LC,情報なし,500 Lパッケージ マクレビ HUD オレンジキャリパー 21インチ,1273.4万円,2023(R05),0.3万km,なし,フロアMTモード付10AT,5000CC,2025-07-17T23:30:02.646943,2025-07-17,23:30:02,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S019&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6394180168/index.html
LC,情報なし,500h Lパッケージ 黒革 ガラスルーフ OP21インチAW,672.9万円,2017(H29),4.5万km,なし,フロアMTモード付CVT,3500CC,2025-07-17T23:30:02.649714,2025-07-17,23:30:02,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S019&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6335487742/index.html
LC,情報なし,500h Lパッケージ パノラマルーフOPカラーHUD黒レザーシート,895.1万円,2020(R02),1.5万km,なし,フロアMTモード付CVT,3500CC,2025-07-17T23:30:02.652378,2025-07-17,23:30:02,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S019&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6400369955/index.html
LC,情報なし,500h Lパッケージ ワンオーナー 禁煙車 パノラマルーフ,738万円,2017(H29),2万km,なし,フロアMTモード付CVT,3500CC,2025-07-17T23:30:02.655181,2025-07-17,23:30:02,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S019&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6411922976/index.html
LC,情報なし,500 Sパッケージ オ-カ-半革 HUD ACC アダプティブLED ナビ,779.8万円,2017(H29),2.3万km,なし,フロアMTモード付10AT,5000CC,2025-07-17T23:30:02.657880,2025-07-17,23:30:02,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S019&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6430549353/index.html
LC,情報なし,500h Lパッケージ 禁煙車 オーカー内装 エイムゲイン21AW,630万円,2018(H30),7.3万km,なし,フロアMTモード付CVT,3500CC,2025-07-17T23:30:02.660557,2025-07-17,23:30:02,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S019&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6416491873/index.html
LC,情報なし,500 ヒデキ マツヤマ エディション 10台限定車 モデリスタエアロ 寒冷地仕様,1270.3万円,2021(R03),171km,なし,フロアMTモード付10AT,5000CC,2025-07-17T23:30:02.663318,2025-07-17,23:30:02,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S019&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6431865547/index.html
LC,情報なし,500h Lパッケージ 禁煙 セーフティシステムプラス BSM,792.9万円,2017(H29),1.4万km,なし,フロアCVT,3500CC,2025-07-17T23:30:02.666085,2025-07-17,23:30:02,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S019&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6373304091/index.html
LC,情報なし,500 Sパッケージ マークレビンソン HUD 純正ナビ ETC,853.8万円,2018(H30),1.7万km,なし,フロアMTモード付10AT,5000CC,2025-07-17T23:30:02.668786,2025-07-17,23:30:02,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S019&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6399071968/index.html
