車種名,モデル,グレード,支払総額,年式,走行距離,修復歴,ミッション,排気量,取得日時,取得日,取得時刻,ソースURL,車両URL
RX,情報なし,450h バージョンL サンルーフ&リアエンター黒革シートETC,306.3万円,2016(H28),3.2万km,なし,フロアMTモード付CVT,3500CC,2025-07-11T23:31:36.943303,2025-07-11,23:31:36,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S008&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6384429752/index.html
RX,情報なし,500h Fスポーツ パフォーマンス 4WD デジタルミラー　SR 全周囲　3眼LED HUD,759万円,2023(R05),1.3万km,なし,フロアMTモード付6AT,2400CC,2025-07-11T23:31:36.946066,2025-07-11,23:31:36,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S008&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6285512518/index.html
RX,情報なし,300 新品タイヤ/11.6インチ SDナビ,512.9万円,2022(R04),1.7万km,なし,フロアMTモード付6AT,2000CC,2025-07-11T23:31:36.948773,2025-07-11,23:31:36,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S008&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6347927844/index.html
RX,情報なし,200t 4WD ナビ サンルーフ LEXUSsafety Bカメラ ETC,319.7万円,2016(H28),4.9万km,なし,フロアMTモード付6AT,2000CC,2025-07-11T23:31:36.951404,2025-07-11,23:31:36,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S008&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6257786671/index.html
RX,情報なし,200t 4WD LSS 純ナビ TV B/Sカメラ LED 18AWドラレコ,314.8万円,2016(H28),4万km,なし,フロアMTモード付6AT,2000CC,2025-07-11T23:31:36.954074,2025-07-11,23:31:36,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S008&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6251261100/index.html
RX,情報なし,450h 禁煙 サンルーフ ブラインドスポット,334.9万円,2018(H30),5.1万km,なし,フロアCVT,3500CC,2025-07-11T23:31:36.956793,2025-07-11,23:31:36,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S008&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6402554898/index.html
RX,情報なし,350h バージョンL パノラマR・三眼LED・パノラミックビュー,729.7万円,2024(R06),0.9万km,なし,フロアMTモード付CVT,2480CC,2025-07-11T23:31:36.959491,2025-07-11,23:31:36,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S008&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6361540263/index.html
RX,情報なし,200t バージョンL サンルーフ/純正12型ナビ/全周囲カメラ/RCC,319.9万円,2016(H28),3万km,なし,フロア6AT,2000CC,2025-07-11T23:31:36.962208,2025-07-11,23:31:36,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S008&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6206315994/index.html
RX,情報なし,300 ナビ　ETC,413.5万円,2020(R02),2.3万km,なし,フロア6AT,2000CC,2025-07-11T23:31:36.964329,2025-07-11,23:31:36,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S008&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6348244411/index.html
RX,情報なし,500h Fスポーツ パフォーマンス 4WD パノラマル-フ スポ-ティ-エアロ 輻射 赤革,808万円,2023(R05),0.4万km,なし,フロアMTモード付6AT,2400CC,2025-07-11T23:31:36.967062,2025-07-11,23:31:36,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S008&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6359750855/index.html
RX,情報なし,450h Fスポーツ 4WD 禁煙車　マークレビンソン　SR　赤革シート,430万円,2019(R01),7万km,なし,フロアMTモード付CVT,3500CC,2025-07-11T23:31:36.969793,2025-07-11,23:31:36,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S008&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6188365883/index.html
RX,情報なし,500h Fスポーツ パフォーマンス 4WD マークレビンソン サンルーフ 全周囲 黒革,787.8万円,2023(R05),2.1万km,なし,フロアMTモード付6AT,2400CC,2025-07-11T23:31:36.972540,2025-07-11,23:31:36,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S008&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6418421347/index.html
