車種名,モデル,グレード,支払総額,年式,走行距離,修復歴,ミッション,排気量,取得日時,取得日,取得時刻,ソースURL,車両URL
シビックタイプR,情報なし,2.0 ホンダセンシング フルLEDヘッドライト,599.9万円,2023(R05),300km,なし,フロア6MT,2000CC,2025-08-04T23:36:10.031165,2025-08-04,23:36:10,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=HO_S053&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6365114231/index.html
シビックタイプR,情報なし,2.0 6速MT MAK18AW タイプR専用シート,330万円,2016(H28),5万km,なし,フロア6MT,2000CC,2025-08-04T23:36:10.033873,2025-08-04,23:36:10,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=HO_S053&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6394315799/index.html
シビックタイプR,情報なし,2.0 750台限定車/メモリナビTV/バックカメラ,366.1万円,2016(H28),4.8万km,なし,フロア6MT,2000CC,2025-08-04T23:36:10.036560,2025-08-04,23:36:10,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=HO_S053&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6444976938/index.html
シビックタイプR,情報なし,2.0 ワンオーナー　純正ナビ　バックカメラ　ビルトインETC2.0　純正19AW　ブレンボブレーキ　LEDライト　ホンダセンシング　赤ミラーカバー(純正あり)　ロックナット　純正フロアマット　純正バイザー,588.8万円,2025(R07),11km,なし,フロア6MT,2000CC,2025-08-04T23:36:10.039238,2025-08-04,23:36:10,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=HO_S053&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6469386478/index.html
シビックタイプR,情報なし,2.0 純正ナビ　6速MT　トリプルマフラー,575.9万円,2024(R06),0.2万km,なし,フロア6MT,2000CC,2025-08-04T23:36:10.041971,2025-08-04,23:36:10,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=HO_S053&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6270752144/index.html
シビックタイプR,情報なし,2.0 ホンダコネクトディスプレー バック,555.9万円,2024(R06),0.4万km,なし,フロア6MT,2000CC,2025-08-04T23:36:10.044708,2025-08-04,23:36:10,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=HO_S053&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6431891694/index.html
シビックタイプR,情報なし,2.0 ギャザズナビ バックカメラ,442.9万円,2019(R01),3.1万km,なし,フロア6MT,2000CC,2025-08-04T23:36:10.047407,2025-08-04,23:36:10,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=HO_S053&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6442685783/index.html
シビックタイプR,情報なし,2.0 1オーナー 純正ナビ 衝突軽減 クルコン ETC,567.5万円,2024(R06),0.2万km,なし,フロア6MT,2000CC,2025-08-04T23:36:10.050134,2025-08-04,23:36:10,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=HO_S053&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6414149935/index.html
シビックタイプR,情報なし,2.0 ワンオーナー　純正ナビ　バックカメラ　ビルトインETC2.0　純正19インチAW　ブレンボブレーキ　LEDライト　ホンダセンシング　スマートキー×2　純正フロアマット　純正バイザー,593.8万円,2025(R07),36km,なし,フロア6MT,2000CC,2025-08-04T23:36:10.052804,2025-08-04,23:36:10,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=HO_S053&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6469405466/index.html
シビックタイプR,情報なし,2.0 車両品質評価証付/登録済未使用車/禁煙車/純正ホンダコネクトナビ/バックカメラ/LEDヘッドライト/クルーズコントロール/ETC車載器/フルセグTV/Bluetooth/ステアリング/ホンダセンシング/純正ホイール,575.4万円,2024(R06),67km,なし,フロアMTモード付6MT,2000CC,2025-08-04T23:36:10.055549,2025-08-04,23:36:10,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=HO_S053&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6466348437/index.html
シビックタイプR,情報なし,2.0 ワンオーナー  ナビ スペアキー×1,574.8万円,2024(R06),0.2万km,なし,フロア6MT,2000CC,2025-08-04T23:36:10.058209,2025-08-04,23:36:10,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=HO_S053&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6303205268/index.html
シビックタイプR,情報なし,2.0 6MT　ターボ　ホンダセンシング　ブレンボ,573.9万円,2024(R06),0.1万km,なし,フロア6MT,2000CC,2025-08-04T23:36:10.060953,2025-08-04,23:36:10,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=HO_S053&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6414018265/index.html
シビックタイプR,情報なし,2.0 6MT　ターボ　ホンダセンシング　ブレンボ,555.9万円,2023(R05),0.6万km,なし,フロア6MT,2000CC,2025-08-04T23:36:10.063696,2025-08-04,23:36:10,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=HO_S053&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6420763909/index.html
シビックタイプR,情報なし,2.0 6MT ターボ ホンダセンシング　LEDヘッド,559.9万円,2023(R05),0.7万km,なし,フロア6MT,2000CC,2025-08-04T23:36:10.066427,2025-08-04,23:36:10,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=HO_S053&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6435949418/index.html
シビックタイプR,情報なし,2.0 ホンダコネクト バックカメラ ETC 禁煙車,575.9万円,2025(R07),0.2万km,なし,フロア6MT,2000CC,2025-08-04T23:36:10.069161,2025-08-04,23:36:10,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=HO_S053&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6449568682/index.html
シビックタイプR,情報なし,2.0 ホンダセンシング ホンダコネクト ブレンボ,555.9万円,2023(R05),1万km,なし,フロア6MT,2000CC,2025-08-04T23:36:10.071881,2025-08-04,23:36:10,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=HO_S053&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6407481134/index.html
シビックタイプR,情報なし,2.0 車両品質評価証付/登録済未使用車/純正ホンダコネクトナビ/バックカメラ/禁煙車/フルセグTV/ブラインドスポットモニター/純正19インチアルミ/ホンダセンシング/Bluetooth/コーナーセンサー/ETC2.0車載器,576.7万円,2024(R06),18km,なし,フロアMTモード付6MT,2000CC,2025-08-04T23:36:10.074629,2025-08-04,23:36:10,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=HO_S053&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6395456483/index.html
シビックタイプR,情報なし,2.0 車両品質評価証付/登録済未使用車/禁煙車/純正ホンダコネクトナビ/バックカメラ/LEDヘッドライト/クルーズコントロール/ETC車載器/フルセグTV/Bluetooth/ステアリングリモコン/ホンダセンシング/ETC2.0車載器,578.7万円,2024(R06),76km,なし,フロアMTモード付6MT,2000CC,2025-08-04T23:36:10.077379,2025-08-04,23:36:10,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=HO_S053&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6407169554/index.html
シビックタイプR,情報なし,2.0 6MT　ターボ　ホンダセンシング,566.9万円,2023(R05),0.2万km,なし,フロア6MT,2000CC,2025-08-04T23:36:10.080098,2025-08-04,23:36:10,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=HO_S053&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6396134103/index.html
シビックタイプR,情報なし,2.0 車両品質評価証付/ワンオーナ/禁煙車/純正ホンダコネクトナビ/バックカメラ/LEDヘッドライト/クルーズコントロール/ETC車載器/フルセグTV/Bluetooth/ステアリングリモコン/ホンダセンシング,572.7万円,2024(R06),407km,なし,フロアMTモード付6MT,2000CC,2025-08-04T23:36:10.082798,2025-08-04,23:36:10,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=HO_S053&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6407170630/index.html
