車種名,モデル,グレード,支払総額,年式,走行距離,修復歴,ミッション,排気量,取得日時,取得日,取得時刻,ソースURL,車両URL
スープラ,情報なし,3.0 RZ プリクラッシュセーフティシステム JBL,639.9万円,2020(R02),0.4万km,なし,フロアMTモード付8AT,3000CC,2025-07-18T23:39:39.865746,2025-07-18,23:39:39,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=TO_S086&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6332628554/index.html
スープラ,情報なし,3.0 RZ 新車保証継承付　ワンオーナー　JBL　HUD,692.1万円,2021(R03),0.5万km,なし,フロア8AT,3000CC,2025-07-18T23:39:39.868517,2025-07-18,23:39:39,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=TO_S086&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6437336898/index.html
スープラ,情報なし,3.0 RZ 禁煙車/クルーズコントロール/JBL,689.8万円,2022(R04),0.6万km,なし,フロア8AT,3000CC,2025-07-18T23:39:39.871229,2025-07-18,23:39:39,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=TO_S086&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6411931087/index.html
スープラ,情報なし,3.0 RZ ターボ プリクラッシュ ブラインドスポット,729.9万円,2021(R03),0.8万km,なし,フロアMTモード付8AT,3000CC,2025-07-18T23:39:39.873955,2025-07-18,23:39:39,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=TO_S086&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6386437950/index.html
スープラ,情報なし,3.0 RZ SupraConnectナビ JBLサウンド ハーフレザ,771.2万円,2023(R05),0.2万km,なし,フロアMTモード付8AT,3000CC,2025-07-18T23:39:39.876625,2025-07-18,23:39:39,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=TO_S086&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6410496897/index.html
スープラ,情報なし,3.0 RZ SILKBLAZE製エアロ HKSダウンサス1オーナー,699.9万円,2022(R04),1.4万km,なし,フロアMTモード付8AT,3000CC,2025-07-18T23:39:39.879303,2025-07-18,23:39:39,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=TO_S086&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6425747701/index.html
スープラ,情報なし,3.0 RZ JBLサウンド/シートヒータ/レーダクルーズ,612.8万円,2020(R02),1.8万km,なし,フロア8AT,3000CC,2025-07-18T23:39:39.882107,2025-07-18,23:39:39,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=TO_S086&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6441422516/index.html
スープラ,情報なし,3.0 RZ 6MT 1オーナー JBLサウンド 禁煙車 BSM,737.9万円,2023(R05),2.8万km,なし,フロア6MT,3000CC,2025-07-18T23:39:39.884863,2025-07-18,23:39:39,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=TO_S086&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6442526972/index.html
スープラ,情報なし,3.0 RZ 黒革 BLITZ 車高調 禁煙車 JBLサウンド BSM,553.9万円,2020(R02),6.7万km,なし,フロアMTモード付8AT,3000CC,2025-07-18T23:39:39.888130,2025-07-18,23:39:39,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=TO_S086&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6373304137/index.html
スープラ,情報なし,3.0 RZ 6速MT/バックモニター/シートヒーター/JBL,749.8万円,2024(R06),0.9万km,なし,フロア6MT,3000CC,2025-07-18T23:39:39.890858,2025-07-18,23:39:39,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=TO_S086&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6384275061/index.html
